protocol,scheduler,delta,users_per_macro,trials,Pt_electrical_macro_W,mean_sinr_db,median_sinr_db,avg_se_user_bpshz,avg_se_per_data_subcarrier_bpshz,jain_fairness,conflicts,cov_p10db,cov_p20db,time_s
ADT+OFDMA+strictFFR,full-load,0.6666666666666666,42,10000,3.0,28.10798860289344,27.097428211102347,375.7544229084999,1.4735467565039213,0.7929570077945026,0,1.0,1.0,370.7990620136261
ADT+OFDMA+strictFFR,rr1,0.6666666666666666,42,10000,3.0,28.284138400240494,27.14750697094658,1028.876405609246,4.034809433761749,0.989910239113162,0,1.0,1.0,156.69644904136658
